text,sentiment,score,length
"Hurry up, it's crowded in here!",uncertain,0.3054,6
"Hurry, this way!",very positive,0.5119,3
I hate dawdlers.,uncertain,0.3073,3
You're with me!,very positive,0.6137,3
Pazu!,very positive,0.5191,1
I don't bite.,uncertain,0.3738,3
Come.,very positive,0.4658,1
You're not here for fun.,negative,0.4898,5
What an engine.,neutral,0.6528,3
Now where'd he go?,uncertain,0.3454,4
Pops!,uncertain,0.3547,1
Pops!,uncertain,0.3547,1
"Look, we got you an assistant.",neutral,0.5375,6
Don't holler.,uncertain,0.3841,2
I hear you.,uncertain,0.4244,3
He's tougher than Mama.,uncertain,0.4342,4
Be careful.,uncertain,0.36,2
My hand doesn't fit.,negative,0.4965,4
This gasket?,very negative,0.5907,2
Name?,uncertain,0.3363,1
Pazu.,uncertain,0.3938,1
The crystal pointed nearly due east...,uncertain,0.2463,6
You sure about that?,uncertain,0.4424,4
I could see the sunrise from the tower.,uncertain,0.3939,8
It's the harvest season now... so the sun rises just south of due east.,uncertain,0.3403,14
The light pointed to the left of where the sun rose.,uncertain,0.3097,11
Good answer.,positive,0.5399,2
Any luck?,very negative,0.5999,2
Not a peep.,uncertain,0.4244,3
"They're maintaining radio silence, aren't they?",uncertain,0.4259,6
"Mama, Goliath's faster.",uncertain,0.4445,3
What do we do?,neutral,0.5039,4
We're upwind of them.,uncertain,0.3544,4
If we get a lift on the trade winds...,uncertain,0.4303,9
My abacus from the Far East.,very negative,0.7024,6
Windspeed is 10... and...,uncertain,0.3859,4
I think we can catch up.,uncertain,0.4245,6
"Okay, listen up!",positive,0.4569,3
Goliath's on its way to Laputa.,uncertain,0.3459,6
We're on their tail.,uncertain,0.3084,4
"With these winds, I expect contact tomorrow.",uncertain,0.2656,7
Ten gold pieces to whoever spots her first!,very positive,0.6065,8
Ten!,very positive,0.5592,1
"Whatever we find, I'm sure Laputa has riches enough for any pirate gang!",uncertain,0.3491,13
"Earn your keep, boys!",uncertain,0.4233,4
Now!,very positive,0.572,1
"Course 98, speed 40.",neutral,0.4938,4
That getup of yours won't work.,very negative,0.5381,6
Wear these.,neutral,0.4826,2
Your station.,very positive,0.5083,2
Beautiful...,very positive,0.5221,1
You serve five meals a day.,uncertain,0.3611,6
Go easy on the water.,uncertain,0.4124,5
"Get to work, you idiots!",uncertain,0.4074,5
Yes?,uncertain,0.4134,1
"I'm sorry, dinner isn't ready yet.",uncertain,0.3946,6
I've never cooked on an airship...,very negative,0.6973,6
Do you need something?,neutral,0.5488,4
Beautiful...,very positive,0.5221,1
What?,uncertain,0.396,1
I thought I'd give you a hand in my spare time.,uncertain,0.426,11
Why thank you.,uncertain,0.3748,3
Can you put those dishes away?,uncertain,0.2955,6
Happy to obli...,uncertain,0.3323,3
You said your stomach hurt...,very negative,0.5299,5
I've got some free time.,uncertain,0.3401,5
Can I...,uncertain,0.4317,2
You're in the way.,uncertain,0.3662,4
"Some stomachache, jerk!",uncertain,0.3508,3
"Hey, can I help...",neutral,0.4617,4
"You've changed, chasing the likes of Goliath...",uncertain,0.3694,7
But it's pointless.,uncertain,0.2904,3
It's Laputan treasure I'm after.,very positive,0.6117,5
They're certainly nice kids...,uncertain,0.375,4
"Get to the point, you old goat.",uncertain,0.3867,7
They're too upright and honest to ever respect you.,uncertain,0.4382,9
What's that!,uncertain,0.4083,2
"No, I mean...",neutral,0.465,3
Check...,uncertain,0.4296,1
Excellent... delicious...,very positive,0.7158,2
Seconds anyone?,uncertain,0.3624,2
Okay.,neutral,0.7094,1
More!,uncertain,0.4003,1
More!,uncertain,0.4003,1
More!,uncertain,0.4003,1
"Hey, shake a leg.",very negative,0.4559,4
It's your watch.,uncertain,0.3474,3
"Take it, it's cold.",uncertain,0.3548,4
Watch?,uncertain,0.3433,1
Yeah.,uncertain,0.3646,1
Darn cold!,very negative,0.6332,2
Go on up.,uncertain,0.342,3
My turn.,uncertain,0.3659,2
Great.,very negative,0.5395,1
Sheeta!,very positive,0.5312,1
That was scary!,uncertain,0.2773,3
The sky is beautiful.,uncertain,0.4151,4
Sheeta.,uncertain,0.4004,1
Get in.,uncertain,0.3538,2
Can't you sleep?,uncertain,0.3819,3
Nice and warm...,neutral,0.5025,3
Look aft.,uncertain,0.3638,2
Pazu?,uncertain,0.3059,1
What?,uncertain,0.396,1
I'm really scared.,negative,0.4651,3
I really don't want to go to Laputa.,uncertain,0.4403,8
"I hope we never find Goliath. - You mean-- - No, the light pointed the right way.",very positive,0.6917,17
But...,uncertain,0.3872,1
You mean the robot?,uncertain,0.3086,4
Poor thing.,negative,0.4619,2
I never dreamed that little spell would work.,very negative,0.5824,8
I learned lots of other spells.,positive,0.5549,6
"To help find things, cure the sick.",uncertain,0.3889,7
"And one I must never, ever use.",very negative,0.7645,7
"Never, ever use?",very negative,0.5165,3
A spell of destruction.,very negative,0.8481,4
I had to learn bad ones so the good spells had power.,uncertain,0.4435,12
"I was so scared, I couldn't sleep.",very negative,0.5417,7
That stone should be locked away.,uncertain,0.3639,6
They hid it in the fireplace.,uncertain,0.3023,6
It was only worn for weddings.,uncertain,0.3711,6
My mother's and grandmother's and great-grandmother's.,uncertain,0.4219,6
I should have thrown it away.,uncertain,0.2907,6
You're wrong.,uncertain,0.3386,2
We met thanks to the stone.,uncertain,0.4364,6
Throwing it away won't make Laputa disappear.,very negative,0.5154,7
Airships are improving.,positive,0.466,3
Someone will find it.,neutral,0.6468,4
"I don't know what to do, but if Laputa is so dangerous... it's not for the likes of Muska.",uncertain,0.3257,19
Besides...,uncertain,0.3427,1
"If we run now, they'll hunt us forever.",uncertain,0.2877,8
But don't become a pirate for me.,uncertain,0.3494,7
I won't become a pirate.,very negative,0.4729,5
Dola understands.,uncertain,0.3123,2
She's nicer than she looks.,positive,0.543,5
"Once things are settled, I'll take you to Gondoa.",uncertain,0.3692,9
"I want to see where you were born, the valley, the yaks...",neutral,0.4737,12
Pazu...,uncertain,0.2911,1
What's that!,uncertain,0.4083,2
"Below us, look!",uncertain,0.4477,3
"Goliath, right below us!",uncertain,0.4356,4
Come about!,very positive,0.5097,2
Full rudder!,very positive,0.5229,2
We should go after them.,uncertain,0.4461,5
They'll be trouble if we don't!,uncertain,0.2616,6
We can't catch them in these clouds.,very negative,0.4982,7
We'll get them.,uncertain,0.3535,3
They won't go far.,uncertain,0.3919,4
Steady as she goes.,uncertain,0.4137,4
We're farther north than I thought.,uncertain,0.3788,6
"Pazu, listen up!",uncertain,0.4065,3
Time's running out.,negative,0.4581,3
"If we lose Goliath, it's all over.",uncertain,0.426,7
Your eyes are sharp.,uncertain,0.2748,4
Track them from the crow's nest.,uncertain,0.2791,6
What do I do?,neutral,0.5044,4
That lookout post is a glider.,uncertain,0.4369,6
See the crank?,uncertain,0.4403,3
Yeah. - Turn it clockwise.,neutral,0.4819,5
"Once it's locked, the upper lever unfolds the wings.",neutral,0.553,9
Use the wire to stabilize them.,neutral,0.5577,6
Figure out how to steer as you go!,uncertain,0.3897,8
"Sheeta, you there?",uncertain,0.4093,3
Yes.,uncertain,0.3673,1
Get back down here. - Why?,uncertain,0.3035,6
Because you're a girl!,very positive,0.6102,4
But so are you!,very positive,0.5114,4
"Besides, I'm a mountain girl with sharp eyes.",uncertain,0.3981,8
Sheeta!,very positive,0.5312,1
Please.,uncertain,0.3244,1
Pazu agrees.,neutral,0.5012,2
"Once you're aloft, the voice tube won't work.",uncertain,0.4293,8
See the head set?,uncertain,0.3298,4
"You mean this, right?",uncertain,0.3079,4
Wow...,uncertain,0.2875,1
Okay.,neutral,0.7094,1
I'll give it a try.,uncertain,0.3466,5
Release us.,uncertain,0.3403,2
Here goes.,neutral,0.6283,2
They're gone.,uncertain,0.3837,2
Slipped into the clouds.,uncertain,0.3552,4
Look sharp!,uncertain,0.4432,2
They could be anywhere.,uncertain,0.4137,4
Aye!,very positive,0.4783,1
Hold on tight.,uncertain,0.3983,3
What's wrong!,uncertain,0.4065,2
We're fine.,neutral,0.7135,2
Just ran into a gust of wind.,uncertain,0.2534,7
We're keeping watch.,uncertain,0.4177,3
Scared?,uncertain,0.4471,1
No.,very negative,0.4577,1
I'm getting the hang of it.,uncertain,0.3922,6
Rough skies ahead.,uncertain,0.3827,3
"Sheeta, get the rope from my bag.",uncertain,0.3027,7
Okay.,neutral,0.7094,1
Tie yourself to me.,uncertain,0.3553,4
Okay.,neutral,0.7094,1
"The mercury's dropping, Mama...",uncertain,0.2809,4
Lousy luck.,very negative,0.5456,2
Storm coming up...,uncertain,0.3877,3
How long 'til dawn?,uncertain,0.3926,4
One more hour.,uncertain,0.3353,3
It's dawn.,uncertain,0.4128,2
Strange that the sun's rising on that side...,uncertain,0.4067,8
I know!,uncertain,0.3962,2
We're supposed to be heading east.,uncertain,0.3819,6
Bridge!,very positive,0.5881,1
What!,uncertain,0.3293,1
We're heading north?,uncertain,0.3654,3
The compass is pointing east.,uncertain,0.3838,5
The shifting winds must have put us off course. - Look!,uncertain,0.3323,11
What is it?,neutral,0.4969,3
Goliath?,uncertain,0.3025,1
It's a cloud.,very positive,0.4991,3
A huge one...,uncertain,0.3589,3
A cloud?,uncertain,0.3434,2
It's headed for us!,uncertain,0.3471,4
A castle in the sky...,uncertain,0.3031,5
We're headed into a low pressure system.,uncertain,0.3755,7
"Turn her away, full speed!",very positive,0.5758,5
It's sucking us in.,uncertain,0.3959,4
"Hold tight, we can't help!",uncertain,0.4348,5
The helm won't move!,very negative,0.4754,4
Where's your brute strength?,uncertain,0.3478,4
Engine's burning up!,very negative,0.6156,3
Stop whining and figure something out!,uncertain,0.3847,6
We're clearing the clouds!,very positive,0.5812,4
"Sheeta, the ocean!",very positive,0.6582,3
The Dragon's Lair!,very positive,0.6908,3
So this is the Dragon's Lair...,uncertain,0.3354,6
Just as Dad said.,uncertain,0.3322,4
The wind's blowing the other way.,uncertain,0.3381,6
"Look out, a wall of wind!",uncertain,0.3876,6
Mama!,very positive,0.552,1
It's sucking us in!,very negative,0.4537,4
Don't give up!,very negative,0.5877,3
Be a man!,very positive,0.643,3
Bridge!,very positive,0.5881,1
It's Laputa!,very positive,0.6985,2
What was that?,uncertain,0.3154,3
Dad saw Laputa inside the Dragon's Lair.,uncertain,0.2642,7
Don't be ridiculous!,uncertain,0.3807,3
It'll tear you to pieces!,uncertain,0.3328,5
Pazu!,very positive,0.5191,1
Look.,uncertain,0.3684,1
Just what we need.,uncertain,0.4351,4
Let's go for it!,uncertain,0.4019,4
Dad did it.,positive,0.5543,3
He made it back.,uncertain,0.3546,4
"All right, into the Dragon's Lair!",uncertain,0.3922,6
Got 'em!,very positive,0.5087,2
Our ship's in danger.,uncertain,0.4497,4
We must withdraw.,uncertain,0.3094,3
Stay on course.,uncertain,0.3345,3
What?,uncertain,0.396,1
The light's pointing right into the cloud.,very positive,0.4788,7
Laputa's in there.,uncertain,0.4049,3
Stay on course.,uncertain,0.3345,3
We'll find a way in.,neutral,0.4751,5
"Here we go, Sheeta!",very positive,0.6205,4
Okay.,neutral,0.7094,1
"Sheeta, Sheeta!",very positive,0.6713,2
Are you all right?,uncertain,0.3641,4
Look...,uncertain,0.4163,1
Laputa...,uncertain,0.2775,1
I'm sorry.,uncertain,0.3758,2
Wait...,uncertain,0.4391,1
I tied it really tight.,uncertain,0.4061,5
My hands are shaking...,uncertain,0.2948,4
We did it!,uncertain,0.4147,3
Birds...,neutral,0.4924,1
Where is everyone?,uncertain,0.417,3
Coming to greet you?,uncertain,0.2999,4
But I don't have the stone.,uncertain,0.4411,6
I'll cut the rope.,positive,0.4992,4
What are you doing!,uncertain,0.3584,4
Wait.,neutral,0.4999,1
Please don't break that.,very negative,0.5244,4
We need it to get home.,uncertain,0.3808,6
A flycatcher's nest!,uncertain,0.4177,3
That's why he's here?,uncertain,0.3164,4
See?,uncertain,0.3472,1
All your eggs are fine.,neutral,0.6138,5
The birds aren't afraid.,neutral,0.4835,4
It says to follow.,neutral,0.4834,4
You understand it?,neutral,0.4718,3
Just intuition.,uncertain,0.3609,2
It's a city...,neutral,0.4946,3
What an amazing place...,very positive,0.6779,4
You can see the sky!,very positive,0.6656,5
"If their science was so advanced, what happened?",uncertain,0.3163,8
It's a grave.,very negative,0.595,3
I wish I could read the writing.,uncertain,0.3858,7
Someone left flowers.,uncertain,0.3471,3
Do you leave the flowers?,uncertain,0.37,5
Pazu!,very positive,0.5191,1
It's a different robot!,uncertain,0.3229,4
It must've broken down long ago...,uncertain,0.3105,6
Probably a gardener robot.,very negative,0.6131,4
It protected this place even after the people went away.,very positive,0.5122,10
You picked flowers for the grave.,uncertain,0.4231,6
Thank you.,positive,0.5047,2
Are you all alone?,very negative,0.5203,4
Are there any other robots here?,uncertain,0.3751,6
He doesn't seem to be lonely.,uncertain,0.4031,6
He's got friends and birds' nests to look after...,positive,0.4511,9
This way!,very positive,0.5597,2
This section's been destroyed.,very negative,0.6313,4
They got the Tiger Moth.,uncertain,0.3691,5
I hope the pirates are okay.,uncertain,0.4093,6
"Sheeta, look there!",uncertain,0.408,3
They're prisoners!,uncertain,0.3924,2
They hang pirates.,very negative,0.5552,3
We must help them.,uncertain,0.3501,4
Let's go!,very positive,0.4721,2
We found a way in.,uncertain,0.4031,5
"Look at this, mountains of treasure.",very positive,0.4623,6
W...,uncertain,0.3699,1
What?,uncertain,0.396,1
Wow...,uncertain,0.2875,1
Want some?,uncertain,0.4347,2
I'll give you plenty of rope.,uncertain,0.4088,6
Have you reported that we found Laputa?,uncertain,0.3704,7
Just about to.,uncertain,0.3159,3
Make the code good and complicated.,positive,0.5784,6
Hey!,uncertain,0.3457,1
No looting!,very negative,0.6121,2
The perfect distraction for those idiots.,uncertain,0.3042,6
What amazing roots.,very positive,0.6592,3
"You can climb trees, can't you?",uncertain,0.3762,6
I see a way.,uncertain,0.3999,4
No better than thieves.,very negative,0.5627,4
If they reach the garden...!,uncertain,0.2806,5
"Sheeta, let's find the stone!",uncertain,0.2933,5
It's the only way to stop them.,very negative,0.4714,7
I was wondering why the clouds parted.,uncertain,0.4051,7
It was so they could land.,uncertain,0.2855,6
Was it my spell?,uncertain,0.4489,4
Muska was right.,uncertain,0.4323,3
The seal's broken.,very negative,0.6885,3
The kingdom's waking up.,uncertain,0.4066,4
It's welcomed the visitor with the stone.,positive,0.4926,7
But Muska will become king.,very positive,0.6774,5
He's got much worse in mind.,negative,0.4836,6
But what do I do when I get the stone back...,uncertain,0.4471,11
"Wait, that spell!",uncertain,0.3429,3
You mean... the destruction spell?,uncertain,0.4198,5
Down and around.,neutral,0.532,3
I'll go first.,uncertain,0.3907,3
Okay.,neutral,0.7094,1
It's here somewhere.,neutral,0.4743,3
"Please, God...",uncertain,0.2549,2
This is it!,very positive,0.5437,3
It's that kid.,very negative,0.495,3
No!,very negative,0.5534,1
Don't shoot!,very negative,0.5949,2
Capture her.,uncertain,0.4402,2
"Well, if it isn't the little princess.",neutral,0.4637,7
Sheeta!,very positive,0.5312,1
Damn!,very positive,0.522,1
"What is it, Colonel?",uncertain,0.3488,4
The last of the pirates.,very negative,0.5333,5
There's one right under you.,neutral,0.4793,5
Yes sir!,very positive,0.5571,2
"Sheeta, wait for me!",uncertain,0.4284,4
Pazu!,very positive,0.5191,1
Grenades!,very positive,0.5316,1
Is that Pazu?,uncertain,0.3592,3
What was that?,uncertain,0.3154,3
"No, it wasn't.",uncertain,0.3968,3
What's wrong?,uncertain,0.3969,2
Over here!,very positive,0.5286,2
The general is over there.,uncertain,0.367,5
"Militia, fall in on the double.",uncertain,0.3272,6
Dola!,very positive,0.4615,1
They've got Sheeta.,uncertain,0.3102,3
I'm going after her.,uncertain,0.4132,4
I'll cut your ropes.,positive,0.5082,4
Get out of here.,uncertain,0.3549,4
"Hey, wait!",uncertain,0.3151,2
Take this.,uncertain,0.3002,2
Thanks.,uncertain,0.375,1
The boy has become a man.,very positive,0.6217,6
What!,uncertain,0.3293,1
Muska destroyed all the radio equipment?,very negative,0.7218,6
"Yes, while the ship was lightly guarded.",uncertain,0.4009,7
Several guards are badly wounded.,uncertain,0.3521,5
The colonel entered the inner palace with the girl.,uncertain,0.3438,9
The soldiers saw him.,uncertain,0.3986,4
That upstart's finally showing his colors.,uncertain,0.4341,6
Hunt him down and arrest him!,uncertain,0.3924,6
All units!,very positive,0.5492,2
Hey!,uncertain,0.3457,1
Hurry!,uncertain,0.4101,1
Shoot if he resists!,uncertain,0.3695,4
Find the entrance.,uncertain,0.4463,3
"Where are we, Colonel?",uncertain,0.2976,4
Laputa's core.,uncertain,0.4059,2
The castle above is just a trifle.,uncertain,0.4476,7
All of Laputa's knowledge is crystallized here.,very positive,0.5241,7
You two wait here.,uncertain,0.4035,4
Colonel!,very positive,0.6036,1
Only royalty may enter the sacred area.,uncertain,0.3899,7
What is this!,uncertain,0.3545,3
The roots have invaded...,uncertain,0.2701,4
"Eventually, we'll burn them all.",uncertain,0.2921,5
"Come, this way.",uncertain,0.3993,3
Darn it...,very negative,0.6237,2
Yes...,uncertain,0.3973,1
This is it!,very positive,0.5437,3
"Here, too!",uncertain,0.3811,2
Screw it...,uncertain,0.4328,2
Found it!,very positive,0.5446,2
Behold the giant crystal!,very positive,0.6994,4
Source of Laputa's power.,uncertain,0.2774,4
Fantastic.,very positive,0.5821,1
It has awaited the king's return for 700 years. 700 years?,uncertain,0.3156,11
Your family forgot even that?,very negative,0.638,5
The black rock!,uncertain,0.3241,3
As the epics described!,very positive,0.5979,4
I can read it.,uncertain,0.3944,4
I know what it says!,uncertain,0.3722,5
Just who are you?,uncertain,0.3495,4
"I too have an ancient, secret name, Lucita.",very positive,0.559,8
My name is Romuska Palo Ur Laputa.,uncertain,0.2596,7
We are descended from the same royal family.,uncertain,0.3519,8
Later it split into two branches.,neutral,0.6743,6
Not even a crack.,uncertain,0.3942,4
It's indestructible.,very positive,0.5764,2
Deploy all our explosives.,uncertain,0.3835,4
"Force won't be necessary, Your Excellency.",very positive,0.6275,6
"Muska, where are you!",very positive,0.6989,4
"What are you waiting for, General?",uncertain,0.3838,6
"All right, after me!",uncertain,0.3802,4
Forward!,uncertain,0.3841,1
What is this!,uncertain,0.3545,3
"Muska, where are you?",uncertain,0.3897,4
Silence!,uncertain,0.385,1
What on earth!,very positive,0.5964,3
Watch your tongue.,very positive,0.532,3
You're in the presence of Laputa's king.,uncertain,0.3251,7
Are you insane?,uncertain,0.4263,3
Let's celebrate Laputa's return with a demonstration of its power.,uncertain,0.3765,10
Sheeta!,very positive,0.5312,1
Behold Laputa's thunder!,very positive,0.575,3
Sheeta.,uncertain,0.4004,1
It's the heavenly fire that destroyed Sodom and Gomorrah.,very positive,0.6627,9
It's the Ramayana's Arrow of Indra.,very positive,0.6844,6
The world shall bow down before Laputa once more!,very positive,0.5356,9
"Wonderful, Muska.",very positive,0.5498,2
You're a hero.,very positive,0.7044,3
A monumental achievement.,very positive,0.6496,3
What?,uncertain,0.396,1
I grow tired of your stupid face.,uncertain,0.439,7
"Run, everyone!",uncertain,0.2686,2
Die!,very positive,0.6488,1
It's those monsters!,very positive,0.6491,3
Look at them...,uncertain,0.3996,3
Run!,uncertain,0.3124,1
Are the Flaptors okay?,neutral,0.5082,4
Ready to fly!,very positive,0.4609,3
Let's hurry!,uncertain,0.2786,2
Quiet.,uncertain,0.3841,1
Keep your voice down.,uncertain,0.3503,4
What are those two doing?,uncertain,0.3467,5
I'll have to leave them behind.,uncertain,0.2923,6
I advise you not to anger me.,uncertain,0.4177,7
We'll be alone here for a long time.,uncertain,0.3609,8
They should've escaped.,uncertain,0.2755,3
You think you can fight me?,uncertain,0.3329,6
Robots!,very positive,0.6084,1
Sheeta!,very positive,0.5312,1
Fantastic!,very positive,0.6147,1
"A marvelous display, no?",very positive,0.5116,4
"Die, you insects!",uncertain,0.4372,3
How dare you!,very positive,0.6633,3
Damn.,uncertain,0.3432,1
"Be a good girl, give it back.",positive,0.4775,7
"Please, open!",uncertain,0.439,2
Just where will you go?,uncertain,0.3534,5
Open!,very positive,0.4793,1
Sheeta!,very positive,0.5312,1
Sheeta!,very positive,0.5312,1
Pazu!,very positive,0.5191,1
Sheeta!,very positive,0.5312,1
Pazu!,very positive,0.5191,1
Sheeta!,very positive,0.5312,1
Sheeta!,very positive,0.5312,1
Pazu!,very positive,0.5191,1
Sheeta!,very positive,0.5312,1
I'm coming.,uncertain,0.303,2
Damn.,uncertain,0.3432,1
Get back!,uncertain,0.4369,2
"Take this, hurry!",uncertain,0.2501,3
"Muska's coming, quick!",positive,0.4906,3
Throw it into the sea.,uncertain,0.3947,5
Sheeta!,very positive,0.5312,1
Hold onto that stone.,uncertain,0.25,4
I'll trade her life for it.,uncertain,0.3983,6
Get up!,uncertain,0.4082,2
No more hide and seek.,very negative,0.5992,5
How delightful that it should end in the throne room.,uncertain,0.374,10
Come here!,very positive,0.604,2
The throne room?,uncertain,0.2992,3
This will be our grave.,very negative,0.4649,5
What is a king when his country lies ruined?,very negative,0.7037,9
I won't give you the stone.,very negative,0.6007,6
"You'll die, trapped here with me.",very negative,0.6511,6
There's no escape.,very negative,0.7158,3
This is why Laputa died out.,very negative,0.4604,6
There's a song in my valley...,uncertain,0.3802,6
Put down your roots in the soil Live together with the wind Pass the winter with the seeds Sing in the spring with the birds Your weapons may be powerful.,uncertain,0.3942,30
Your pitiful robots may be numerous.,uncertain,0.3925,6
But you can't survive away from the earth.,uncertain,0.2296,8
Laputa will not die.,negative,0.472,4
It will rise again.,uncertain,0.3388,4
Its power is the stuff of humanity's dreams.,very positive,0.5326,8
"Next, I shoot off your ears!",uncertain,0.2956,6
Beg for your life.,very positive,0.4773,4
Make the kid hand over the stone.,uncertain,0.3954,7
Wait!,uncertain,0.368,1
The stone's hidden.,uncertain,0.3608,3
"You can shoot, but you won't get it.",uncertain,0.4304,8
"Stay away, Pazu.",very positive,0.4977,3
He'll kill us both.,uncertain,0.3858,4
I'll spare her life if you tell me where the stone is.,uncertain,0.2898,12
Or do you intend to conquer me with that cannon of yours?,uncertain,0.3098,12
Let me talk to Sheeta alone.,neutral,0.5081,6
Run away.,uncertain,0.3085,2
Take the stone and run!,very positive,0.5586,5
Three minutes.,uncertain,0.4317,2
Pazu.,uncertain,0.3938,1
"Sheeta, calm down and listen.",uncertain,0.373,5
Teach me that spell.,uncertain,0.4499,4
I'll say it with you.,uncertain,0.37,5
Put your hand in mine.,uncertain,0.2745,5
I cut the pirates' ropes.,positive,0.5144,5
Time's up.,uncertain,0.3735,2
What do you say?,neutral,0.5995,4
My eyes!,very positive,0.6011,2
My eyes!,very positive,0.6011,2
I can't see...,uncertain,0.3926,3
"Mama, it's collapsing!",uncertain,0.2273,3
"All right, let's go.",neutral,0.4681,4
Hurry!,uncertain,0.4101,1
Hurry!,uncertain,0.4101,1
"Look, the bottom's falling out!",uncertain,0.3206,5
Sheeta was such a nice girl...,very positive,0.4619,6
They used the spell of destruction.,very negative,0.4963,6
Those kids saved Laputa from those idiots.,very positive,0.5601,7
It's stopping!,uncertain,0.2834,2
A crystal!,very positive,0.6591,2
A humongous one!,very positive,0.5991,3
It's rising.,uncertain,0.2545,2
The tree... it's carrying it away.,uncertain,0.3281,6
Chase it!,uncertain,0.4002,2
"You're heavy, get off.",uncertain,0.4208,4
I can't!,uncertain,0.3118,2
Sheeta!,very positive,0.5312,1
Pazu...,uncertain,0.2911,1
The roots protected us.,very positive,0.4598,4
We can still use this.,uncertain,0.2659,5
Here goes.,neutral,0.6283,2
"What are you doing, we're not moving.",uncertain,0.365,7
"Of course not, we're overloaded.",uncertain,0.4265,5
It's Sheeta!,very positive,0.5648,2
She's alive!,very positive,0.6256,2
It's the kid!,very positive,0.6066,3
Dola!,very positive,0.4615,1
Thank God you're alive!,very positive,0.6283,4
You guys okay?,uncertain,0.4359,3
"Oh, no!",very negative,0.5702,2
My galleon's wrecked...,very negative,0.5272,3
"Oh, stop blubbering.",very negative,0.5288,3
We'll build a better ship!,uncertain,0.3811,5
"You poor child, the worst is having your hair hacked off...",very negative,0.7404,11
I can't breathe!,very negative,0.5563,3
Sorry.,uncertain,0.3377,1
Pathetic.,uncertain,0.3584,1
"All that work, and only this to show.",uncertain,0.3481,8
We ran out of time!,very negative,0.4612,5
